,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Age,Deck,Embarked
0,1,0,3,male,1,0,7.25,22.0,C,S
1,2,1,1,female,1,0,71.2833,38.0,C,C
2,3,1,3,female,0,0,7.925,26.0,C,S
3,4,1,1,female,1,0,53.1,35.0,C,S
4,5,0,3,male,0,0,8.05,35.0,C,S
5,6,0,3,male,0,0,8.4583,29.69911764705882,C,Q
6,7,0,1,male,0,0,51.8625,54.0,E,S
8,9,1,3,female,0,2,11.1333,27.0,C,S
9,10,1,2,female,1,0,30.0708,14.0,C,C
10,11,1,3,female,1,1,16.7,4.0,G,S
12,13,0,3,male,0,0,8.05,20.0,C,S
13,14,0,3,male,1,5,31.275,39.0,C,S
14,15,0,3,female,0,0,7.8542,14.0,C,S
17,18,1,2,male,0,0,13.0,29.69911764705882,C,S
18,19,0,3,female,1,0,18.0,31.0,C,S
19,20,1,3,female,0,0,7.225,29.69911764705882,C,C
20,21,0,2,male,0,0,26.0,35.0,C,S
21,22,1,2,male,0,0,13.0,34.0,D,S
22,23,1,3,female,0,0,8.0292,15.0,C,Q
23,24,1,1,male,0,0,35.5,28.0,A,S
24,25,0,3,female,3,1,21.075,8.0,C,S
25,26,1,3,female,1,5,31.3875,38.0,C,S
26,27,0,3,male,0,0,7.225,29.69911764705882,C,C
27,28,0,1,male,3,2,263.0,19.0,C,S
28,29,1,3,female,0,0,7.8792,29.69911764705882,C,Q
29,30,0,3,male,0,0,7.8958,29.69911764705882,C,S
30,31,0,1,male,0,0,27.7208,40.0,C,C
31,32,1,1,female,1,0,146.5208,29.69911764705882,B,C
32,33,1,3,female,0,0,7.75,29.69911764705882,C,Q
34,35,0,1,male,1,0,82.1708,28.0,C,C
35,36,0,1,male,1,0,52.0,42.0,C,S
36,37,1,3,male,0,0,7.2292,29.69911764705882,C,C
37,38,0,3,male,0,0,8.05,21.0,C,S
38,39,0,3,female,2,0,18.0,18.0,C,S
39,40,1,3,female,1,0,11.2417,14.0,C,C
40,41,0,3,female,1,0,9.475,40.0,C,S
41,42,0,2,female,1,0,21.0,27.0,C,S
42,43,0,3,male,0,0,7.8958,29.69911764705882,C,C
43,44,1,2,female,1,2,41.5792,3.0,C,C
44,45,1,3,female,0,0,7.8792,19.0,C,Q
45,46,0,3,male,0,0,8.05,29.69911764705882,C,S
46,47,0,3,male,1,0,15.5,29.69911764705882,C,Q
47,48,1,3,female,0,0,7.75,29.69911764705882,C,Q
48,49,0,3,male,2,0,21.6792,29.69911764705882,C,C
49,50,0,3,female,1,0,17.8,18.0,C,S
50,51,0,3,male,4,1,39.6875,7.0,C,S
51,52,0,3,male,0,0,7.8,21.0,C,S
52,53,1,1,female,1,0,76.7292,49.0,D,C
53,54,1,2,female,1,0,26.0,29.0,C,S
55,56,1,1,male,0,0,35.5,29.69911764705882,C,S
56,57,1,2,female,0,0,10.5,21.0,C,S
57,58,0,3,male,0,0,7.2292,28.5,C,C
58,59,1,2,female,1,2,27.75,5.0,C,S
59,60,0,3,male,5,2,46.9,11.0,C,S
60,61,0,3,male,0,0,7.2292,22.0,C,C
61,62,1,1,female,0,0,80.0,38.0,B,S
62,63,0,1,male,1,0,83.475,45.0,C,S
63,64,0,3,male,3,2,27.9,4.0,C,S
64,65,0,1,male,0,0,27.7208,29.69911764705882,C,C
65,66,1,3,male,1,1,15.2458,29.69911764705882,C,C
66,67,1,2,female,0,0,10.5,29.0,F,S
67,68,0,3,male,0,0,8.1583,19.0,C,S
68,69,1,3,female,4,2,7.925,17.0,C,S
69,70,0,3,male,2,0,8.6625,26.0,C,S
70,71,0,2,male,0,0,10.5,32.0,C,S
71,72,0,3,female,5,2,46.9,16.0,C,S
72,73,0,2,male,0,0,73.5,21.0,C,S
73,74,0,3,male,1,0,14.4542,26.0,C,C
74,75,1,3,male,0,0,56.4958,32.0,C,S
75,76,0,3,male,0,0,7.65,25.0,F,S
76,77,0,3,male,0,0,7.8958,29.69911764705882,C,S
77,78,0,3,male,0,0,8.05,29.69911764705882,C,S
79,80,1,3,female,0,0,12.475,30.0,C,S
80,81,0,3,male,0,0,9.0,22.0,C,S
81,82,1,3,male,0,0,9.5,29.0,C,S
82,83,1,3,female,0,0,7.7875,29.69911764705882,C,Q
83,84,0,1,male,0,0,47.1,28.0,C,S
84,85,1,2,female,0,0,10.5,17.0,C,S
85,86,1,3,female,3,0,15.85,33.0,C,S
86,87,0,3,male,1,3,34.375,16.0,C,S
87,88,0,3,male,0,0,8.05,29.69911764705882,C,S
88,89,1,1,female,3,2,263.0,23.0,C,S
89,90,0,3,male,0,0,8.05,24.0,C,S
90,91,0,3,male,0,0,8.05,29.0,C,S
91,92,0,3,male,0,0,7.8542,20.0,C,S
92,93,0,1,male,1,0,61.175,46.0,E,S
93,94,0,3,male,1,2,20.575,26.0,C,S
95,96,0,3,male,0,0,8.05,29.69911764705882,C,S
97,98,1,1,male,0,1,63.3583,23.0,D,C
98,99,1,2,female,0,1,23.0,34.0,C,S
99,100,0,2,male,1,0,26.0,34.0,C,S
100,101,0,3,female,0,0,7.8958,28.0,C,S
101,102,0,3,male,0,0,7.8958,29.69911764705882,C,S
102,103,0,1,male,0,1,77.2875,21.0,D,S
103,104,0,3,male,0,0,8.6542,33.0,C,S
104,105,0,3,male,2,0,7.925,37.0,C,S
105,106,0,3,male,0,0,7.8958,28.0,C,S
106,107,1,3,female,0,0,7.65,21.0,C,S
107,108,1,3,male,0,0,7.775,29.69911764705882,C,S
108,109,0,3,male,0,0,7.8958,38.0,C,S
109,110,1,3,female,1,0,24.15,29.69911764705882,C,Q
110,111,0,1,male,0,0,52.0,47.0,C,S
111,112,0,3,female,1,0,14.4542,14.5,C,C
112,113,0,3,male,0,0,8.05,22.0,C,S
113,114,0,3,female,1,0,9.825,20.0,C,S
114,115,0,3,female,0,0,14.4583,17.0,C,C
115,116,0,3,male,0,0,7.925,21.0,C,S
117,118,0,2,male,1,0,21.0,29.0,C,S
118,119,0,1,male,0,1,247.5208,24.0,B,C
120,121,0,2,male,2,0,73.5,21.0,C,S
121,122,0,3,male,0,0,8.05,29.69911764705882,C,S
122,123,0,2,male,1,0,30.0708,32.5,C,C
123,124,1,2,female,0,0,13.0,32.5,E,S
