,PassengerId,Survived,Pclass,SibSp,Parch,Fare,Age,Sex_female,Sex_male,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Embarked_C,Embarked_Q,Embarked_S
0,1,0,3,1,0,7.25,22.0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,2,1,1,1,0,71.2833,38.0,1,0,0,0,1,0,0,0,0,0,1,0,0
2,3,1,3,0,0,7.925,26.0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,4,1,1,1,0,53.1,35.0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,5,0,3,0,0,8.05,35.0,0,1,0,0,1,0,0,0,0,0,0,0,1
5,6,0,3,0,0,8.4583,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,1,0
6,7,0,1,0,0,51.8625,54.0,0,1,0,0,0,0,1,0,0,0,0,0,1
7,9,1,3,0,2,11.1333,27.0,1,0,0,0,1,0,0,0,0,0,0,0,1
8,10,1,2,1,0,30.0708,14.0,1,0,0,0,1,0,0,0,0,0,1,0,0
9,11,1,3,1,1,16.7,4.0,1,0,0,0,0,0,0,0,1,0,0,0,1
10,13,0,3,0,0,8.05,20.0,0,1,0,0,1,0,0,0,0,0,0,0,1
11,14,0,3,1,5,31.275,39.0,0,1,0,0,1,0,0,0,0,0,0,0,1
12,15,0,3,0,0,7.8542,14.0,1,0,0,0,1,0,0,0,0,0,0,0,1
13,18,1,2,0,0,13.0,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
14,19,0,3,1,0,18.0,31.0,1,0,0,0,1,0,0,0,0,0,0,0,1
15,20,1,3,0,0,7.225,29.69911764705882,1,0,0,0,1,0,0,0,0,0,1,0,0
16,21,0,2,0,0,26.0,35.0,0,1,0,0,1,0,0,0,0,0,0,0,1
17,22,1,2,0,0,13.0,34.0,0,1,0,0,0,1,0,0,0,0,0,0,1
18,23,1,3,0,0,8.0292,15.0,1,0,0,0,1,0,0,0,0,0,0,1,0
19,24,1,1,0,0,35.5,28.0,0,1,1,0,0,0,0,0,0,0,0,0,1
20,25,0,3,3,1,21.075,8.0,1,0,0,0,1,0,0,0,0,0,0,0,1
21,26,1,3,1,5,31.3875,38.0,1,0,0,0,1,0,0,0,0,0,0,0,1
22,27,0,3,0,0,7.225,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
23,28,0,1,3,2,263.0,19.0,0,1,0,0,1,0,0,0,0,0,0,0,1
24,29,1,3,0,0,7.8792,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
25,30,0,3,0,0,7.8958,29.69911764705882,0,1,0,0,1,0,0,0,0,0,0,0,1
26,31,0,1,0,0,27.7208,40.0,0,1,0,0,1,0,0,0,0,0,1,0,0
27,32,1,1,1,0,146.5208,29.69911764705882,1,0,0,1,0,0,0,0,0,0,1,0,0
28,33,1,3,0,0,7.75,29.69911764705882,1,0,0,0,1,0,0,0,0,0,0,1,0
29,35,0,1,1,0,82.1708,28.0,0,1,0,0,1,0,0,0,0,0,1,0,0
30,36,0,1,1,0,52.0,42.0,0,1,0,0,1,0,0,0,0,0,0,0,1
31,37,1,3,0,0,7.2292,29.69911764705882,0,1,0,0,1,0,0,0,0,0,1,0,0
32,38,0,3,0,0,8.05,21.0,0,1,0,0,1,0,0,0,0,0,0,0,1
33,39,0,3,2,0,18.0,18.0,1,0,0,0,1,0,0,0,0,0,0,0,1
